target,method,embedding_backend,jsd,pdis,pdiv,clusters,occurrences_c1,occurrences_c2,batches_c1,batches_c2,historical_refreshes,c1_only_clusters,c2_only_clusters,mixed_clusters,gold
attack_nn,widid,bert,0.22492487540344697,0.040831502335461956,0.025517078006192795,107,446,731,5,5,0,12,90,5,0.1439699927
bag_nn,widid,bert,0.09501930432590755,0.046860381573036625,0.0035818746419271075,61,159,647,5,5,0,9,49,3,0.1003636619
ball_nn,widid,bert,0.22388343533461308,0.044495759196600315,0.029742597243540586,147,310,722,5,5,0,23,121,3,0.4093665525
bit_nn,widid,bert,0.2541699162914983,0.03975545077578113,0.024757939049578903,225,297,1008,5,5,0,34,184,7,0.3065766263
chairman_nn,widid,bert,0.07814846934172459,0.0889914364472899,0.11454426167262462,40,148,661,5,5,0,1,37,2,0.0
circle_vb,widid,bert,0.2602193049972188,0.04271979151564953,0.04124242164649383,118,407,414,5,5,0,18,96,4,0.1710871199
contemplation_nn,widid,bert,0.0,0.013704988139086605,0.0,1,220,108,5,5,0,0,0,1,0.070838721
donkey_nn,widid,bert,0.07983787425245015,0.0756167999243672,0.08213484353625493,14,85,114,5,5,0,2,11,1,0.1601038896
edge_nn,widid,bert,0.20887098490157574,0.04199939929442298,0.0490498526420351,156,340,875,5,5,0,11,142,3,0.2609655868
face_nn,widid,bert,0.21164569773092534,0.015407994308115458,0.014632691582056656,510,3096,3863,5,5,0,85,411,14,0.137791275
fiction_nn,widid,bert,0.09651348714163666,0.11497675028136456,0.12316039068660513,28,165,316,5,5,0,2,25,1,0.0207232682
gas_nn,widid,bert,0.1561114841024105,0.08261019326536867,0.08501678114335179,77,120,625,5,5,0,4,72,1,0.1595695865
graft_nn,widid,bert,0.0516277775784767,0.12556650635515454,0.07349463692959084,10,89,88,5,5,0,2,7,1,0.5539755971
head_nn,widid,bert,0.43430156395693853,0.01935796157333247,0.022403689067584887,729,3207,3839,5,5,0,182,521,26,0.2952561247
land_nn,widid,bert,0.1701488708807708,0.02975091349504755,0.02122975827359702,281,1908,1385,5,5,0,64,211,6,0.2234476353
lane_nn,widid,bert,0.27069073337384886,0.07654664046037163,0.07885925048122025,63,178,214,5,5,0,5,55,3,0.1037200629
lass_nn,widid,bert,0.295574620123245,0.06603564140240104,0.08480790784082345,40,62,91,5,5,0,7,32,1,0.2125896937
multitude_nn,widid,bert,0.11093708745069997,0.13472666718648862,0.002242647598350467,11,340,103,5,5,0,4,6,1,0.1003636619
ounce_nn,widid,bert,0.34769187715612904,0.07174508315941774,0.0394088511877658,18,114,82,5,5,0,3,12,3,0.2848990681
part_nn,widid,bert,0.29987086898055004,0.029869501782868957,0.019143886550641642,828,4075,2978,5,5,0,285,513,30,0.161270809
pin_vb,widid,bert,0.33300837448048304,0.05475959536840558,0.015013111572758309,67,69,120,5,5,0,11,52,4,0.2072118595
plane_nn,widid,bert,0.07138508536290389,0.10251567739612355,0.057034910303377956,48,234,579,5,5,0,5,41,2,0.8823475834
player_nn,widid,bert,0.27095950275907477,0.07482305476304807,0.11671630583489465,91,72,417,5,5,0,4,85,2,0.2736674651
prop_nn,widid,bert,0.5443452451276518,0.07778011095968107,0.045647348865503395,45,77,69,5,5,0,9,34,2,0.624759971
quilt_nn,widid,bert,0.23992115893368027,0.08691013605992892,0.11646890491606843,15,68,146,5,5,0,1,13,1,0.1231453661
rag_nn,widid,bert,0.14940222533678882,0.09244528027431476,0.08193816320989852,22,37,108,5,5,0,2,19,1,0.2765152931
record_nn,widid,bert,0.5435039164642599,0.07305637758499284,0.03474691793197701,278,325,860,5,5,0,44,232,2,0.4273504707
relationship_nn,widid,bert,0.08731892491499404,0.08317006462487175,0.09036432463907856,51,121,600,5,5,0,2,47,2,0.0562177896
risk_nn,widid,bert,0.13327921924997388,0.06841103930609926,0.05292964296749186,90,309,636,5,5,0,5,83,2,0.0
savage_nn,widid,bert,0.17977736136073563,0.051201886627995075,0.02052510228998841,45,517,146,5,5,0,13,31,1,0.0968689424
stab_nn,widid,bert,0.18963187447894003,0.13823837272467765,0.08184612626027513,28,79,93,5,5,0,3,24,1,0.4005896829
stroke_vb,widid,bert,0.6620639921118006,0.041792153747492344,0.017508832554360004,84,151,180,5,5,0,17,63,4,0.1762311532
thump_nn,widid,bert,0.06898739442800028,0.05195405745461923,0.19620959675085606,10,64,99,5,5,0,0,9,1,0.1429915711
tip_vb,widid,bert,0.5454246791176289,0.05666058834728016,0.009674649375090938,90,48,254,5,5,0,12,76,2,0.6788987615
tree_nn,widid,bert,0.112599848548528,0.049903332713020054,0.01949422228019304,79,1032,726,5,5,0,19,58,2,0.070838721
twist_nn,widid,bert,0.30831942675788815,0.05054103456762438,0.016241033114447107,77,115,197,5,5,0,15,60,2,0.3984926634
word_nn,widid,bert,0.23720370339943075,0.020946875910344054,0.01924582973927741,265,1867,1385,5,5,0,82,171,12,0.1793071623
attack_nn,semi_dynamic_widid,bert,0.4171986830542691,0.02671253257905315,0.03656732019439651,136,446,731,5,5,10,27,90,19,0.1439699927
bag_nn,semi_dynamic_widid,bert,0.23756773330845604,0.02370546410920593,0.010712118127162773,84,159,647,5,5,10,15,57,12,0.1003636619
ball_nn,semi_dynamic_widid,bert,0.4287517133153358,0.03978016182605515,0.028631395676018273,176,310,722,5,5,10,45,116,15,0.4093665525
bit_nn,semi_dynamic_widid,bert,0.550230833912015,0.02454536036593502,0.02548139872146954,279,297,1008,5,5,10,60,189,30,0.3065766263
chairman_nn,semi_dynamic_widid,bert,0.5388368664700831,0.05524178881116493,0.07122062582125298,38,148,661,5,5,10,1,31,6,0.0
circle_vb,semi_dynamic_widid,bert,0.2794951926556406,0.029730654767804676,0.05314233138958524,121,407,414,5,5,10,27,80,14,0.1710871199
contemplation_nn,semi_dynamic_widid,bert,0.014030002224508883,0.051199689961499484,0.038120089895704645,2,220,108,5,5,10,0,1,1,0.070838721
donkey_nn,semi_dynamic_widid,bert,0.12420156054100495,0.06645366777540929,0.0548603207091381,16,85,114,5,5,10,3,12,1,0.1601038896
edge_nn,semi_dynamic_widid,bert,0.23142682145762095,0.029983772173485246,0.06666227590857629,136,340,875,5,5,10,17,102,17,0.2609655868
face_nn,semi_dynamic_widid,bert,0.24272988272606444,0.019776762773778378,0.03927622448833504,531,3096,3863,5,5,10,151,292,88,0.137791275
fiction_nn,semi_dynamic_widid,bert,0.2605481568803034,0.07046431689992394,0.028422925359947115,33,165,316,5,5,10,9,17,7,0.0207232682
gas_nn,semi_dynamic_widid,bert,0.512890113149373,0.0364678145557783,0.05931378769615872,80,120,625,5,5,10,10,64,6,0.1595695865
graft_nn,semi_dynamic_widid,bert,0.41932002338052343,0.05594263690991641,0.0028967465379900748,18,89,88,5,5,10,5,10,3,0.5539755971
head_nn,semi_dynamic_widid,bert,0.30384045854532094,0.01798101330780577,0.03385034810112292,816,3207,3839,5,5,10,262,424,130,0.2952561247
land_nn,semi_dynamic_widid,bert,0.2543093537267609,0.0213904594105786,0.033338512819586524,332,1908,1385,5,5,10,109,183,40,0.2234476353
lane_nn,semi_dynamic_widid,bert,0.39912693669190613,0.06623754895140666,0.051259537435078606,77,178,214,5,5,10,16,56,5,0.1037200629
lass_nn,semi_dynamic_widid,bert,0.28406549525824065,0.06921102258789802,0.0965675041336706,39,62,91,5,5,10,11,24,4,0.2125896937
multitude_nn,semi_dynamic_widid,bert,0.18212076667490784,0.06058826402274242,0.03086085233736667,16,340,103,5,5,10,11,1,4,0.1003636619
ounce_nn,semi_dynamic_widid,bert,0.4452709717143315,0.040392294958653374,0.016531135184155443,20,114,82,5,5,10,6,8,6,0.2848990681
part_nn,semi_dynamic_widid,bert,0.39859636618329386,0.024729092931302432,0.022109196659566566,987,4075,2978,5,5,10,442,406,139,0.161270809
pin_vb,semi_dynamic_widid,bert,0.5550459043443663,0.04208669860154224,0.0265578366503679,85,69,120,5,5,10,17,62,6,0.2072118595
plane_nn,semi_dynamic_widid,bert,0.7201426217119242,0.0450691656857477,0.04977799282799808,57,234,579,5,5,10,16,30,11,0.8823475834
player_nn,semi_dynamic_widid,bert,0.5923943980762436,0.07094458138949788,0.09285660390283706,115,72,417,5,5,10,12,99,4,0.2736674651
prop_nn,semi_dynamic_widid,bert,0.7187519856351212,0.05351806666437664,0.04368094811786158,58,77,69,5,5,10,18,39,1,0.624759971
quilt_nn,semi_dynamic_widid,bert,0.16865835411225838,0.09820771980354237,0.12899379402470434,20,68,146,5,5,10,1,18,1,0.1231453661
rag_nn,semi_dynamic_widid,bert,0.29443657576403925,0.04454928962388738,0.05766633484642186,27,37,108,5,5,10,6,16,5,0.2765152931
